id,prod_name,price,country,source,author,review_txt,rating
55,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ein tolles kleines Spielzeug mit vielen Funktionen und einem tollen Sound, alles in allem bin ich sehr zufrieden.",5
56,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Der Echo Dot hat ein super ansprechendes Design für Kinder, egal ob Mädchen oder Junge. Unsere Töchter haben sich riesig über den Echo Dot gefreut und haben auch nicht lange gebraucht um damit klar zu...",5
57,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Zuerst muss ich sagen das die Alexa optisch für Kinder super gemacht ist. Meine Tochter hat sich sehr darüber gefreut. Die Einrichtung verlief problemlos mit der Alexa App. Anfangs hatte meine Tochter...,5
58,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Wir haben den Smart Speaker im Drachen-Design im Kinderzimmer unserer Tochter aufgestellt. Sie hatte sich schon länger einen gewünscht, für die 'Erwachsenenversion' fanden wir es allerdings noch etwas...",5
59,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Mein kleiner Sohn hat sich schon lange eine ""Alexa"" wie die seines Bruders gewünscht. Als wurde dieser Wunsch erhört kam der Echo DOT für Kinder raus.Mein Sohn ist total begeistert und nutzt seine A...",5
60,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Die Alexa echo dot 5. Generation hat ein tollen Klang. Wir haben sie im Esszimmer, von dort aus hört man überall die Musik sehr gut.",5
61,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"unsere Tochter war  richtig glücklich, sie hört gerne Geschichte zum einschlafen, sehr wert zum kaufen",5
62,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Funktioniert einwandfrei! Hat alles geklappt, macht richtig Spaß! Würde es wieder kaufen!",5
63,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Die kleine Kugel sieht nicht nur gut aus, sondern klingt erstaunlich gut! Als mobiler Lautsprecher war der Echo bei uns dauernd vergriffen und in Betrieb. Auch als Radiowecker macht er eine gute Figur...",5
64,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ich war immer skeptisch...Doch dieser Echo ist so hilfreich.Alexa für meine Einkaufslisten ohne das ich erst Zettel und Stift suchen muss.Alexa ""überwacht"" meinen Gefrierschrank.Alexa hat imme...",5
65,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ich habe den Dot in meinem Wohnzimmer stehen. Nach der Konfiguration, bei der Alexa super einfach mit unterstützt. Selbst meine Oma ist damit klar gekommen :).Nun ging es los mit den ersten Befehlen...",5
66,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Ich bin mit  der Alexa sehr zufrieden.  Sie hilft mir mein Altag zu meistern ......,5
67,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Mein Mann wollte schon seid langem ein solches Gerät  haben.Bis jetzt hat er mich von der Verwendung aber nicht überzeugen können.Nachdem ich für den Produkttest dieses Gerätes ausgesucht wurde, d...",5
68,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Zur Verpackung des Lautsprechers gibt es nicht viel zu sagen: Der Karton ist einfach, darin befinden sich der Echo Dot 5, ein Kabel mit integriertem Adapter und die Dokumentation.Der Echo Dot 5 ist ...",5
69,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Eine fast perfekte Alexa. Das Einrichten ist wirklich kinderleicht und lief ohne Probleme. Viele Funktionen die den Alltag unterhalten und viele Funktionen die hilfreich sein können. Ob Musik oder...",5
70,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ich bin positiv überrascht wie (wortwörtlich) kinderleicht das Gerät zu bedienen ist! Der Echo Dot wechselt bei uns gelegentlich die Zimmer, ist jedoch die meiste Zeit im Zimmer meines jüngsten Bruder...",5
71,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Steht bei mir in der Küche, sehr gute Unterhaltung damit, bin sehr zufrieden, würde ich gerne weiterempfehlen",5
72,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Bin sehr begeistert.. wir können es nur empfehlen. Produktbeschreibung passt genau. Einkauf lohnt sich auf jeden Fall",5
73,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ich bin sehr froh, dass ich mir endlich so etwas wie Echo Dot Alexa zugelegt habe.  jetzt bin ich morgens mit dem wecker zufrieden und wähle gerne die musik aus, die ich gerade hören möchte.  Alexa ma...",5
74,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Der neue Echo Dot ist noch mehr verbessert worden. Er ist wohl klein, aber der Klang recht gut.",5
75,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Ihr kennt doch schon alle die Echos und in der 5. Generation hat er sogar einen Sensor für die Temperatur.,5
76,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Alexa ist immer super .. Geschichten music und viele weitere tolle Funktionen,5
77,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Dank Black Friday ein super Preis-Leistungsverhältnis. Kindersicherung, witziges Design, akzeptables Klangverhalten für Größe und Preis auch wenn ein HomePod Mini natürlich deutlich besser klingt aber...",5
78,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Sehr schöne Kugel und der Klang um Welten besser als die 4. Generation. Klingt nicht dumpf oder blechern. Die Farbe ist auch gigantisch. Einfach tolles Teil, nur schade, dass es keine große Auswahl de...",5
79,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Alles tolles Gerät, das ich zum Hören in der Küche verwende, kein Problem mit der Verbindung zum Netzwerk und Qualität und guter Preis",5
80,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Klasse Gerät zu ein Black Week Preis, immer wieder gerne",5
81,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Schnelle Lieferung, es hat alles gut geklappt. Echo funktioniert wie es soll. Kinder nutzen es gerne.",5
82,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Einfach nur schön wie es die Kinder nutzen können. Leichte Bedienung und sehr guter Klang.,5
83,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Macht genau das was es soll und mehr!Steuert mein Licht,Staubsauger,TV und mehr.",5
84,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Der Klang ist besser als beim Vorgänger. Ansonsten kann ich nichts negatives sagen.,5
85,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Sehr zufrieden , der Kids Bereich ist nichts neues für uns Dank Tablet aber der dot für Kids ist schon eine Extraklasse!",5
86,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Generation 5 von Dot hat einen satten klaren Sound und ein schönen bass. Habe mir 3 weitere gekauft um mein Musikzimmer gut auszuarbeiten , ich bin sehr erschrocken da ich mir dachte ..naja ob der was...",5
87,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Bald habe ich in jedem Raum meine Alexa. Ich freue mich. Supiiiiiiiiiiiiuiuuuuiii,5
88,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Habe bis jetzt alle Modelle gehabt also alle Generationen aber die 5 Generationen ist das beste bis jetzt hoffe es kommt noch mehr was die Anzeige betrifft vielleicht das text nachrichten in der lauf ...,5
89,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ich würde Alexa Jederzeit wieder kaufen, wir benutzen Sie in der Küche als Radio und nutzen sie auch als Hilfe wenn wir fragen haben Beziehungsweise etwas aus dem Internet gegoogelt werden muss. Alexa...",5
90,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Bisher hilft es mir mixh an sachen zu erinnern und alles und ich bin wirklich glücklich wecker ist auvh gut ich kann mit freundin telefonieren und so,5
91,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Macht was es soll und lässt sich schnell und einfach mit dem Rest der Wohnung verbinden.,5
92,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Der Sound der Alexa ist für die Größe und Preis sehr gut. Die größere Alexa hat weitaus schlechtere Sound Qualität meiner Meinung nach. Jedoch gibt es auch eine negative Bemerkung im Bereich Einrich...",5
93,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"es wird ein weises Kabel bei einem schwarzen Echo mitgeliefert. Das sieht mehr als bescheiden aus, wenn man das Kabel nicht irgendwie geschickt verstecken kann. Es sticht sofort ins Auge. Sehr schade,...",5
94,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"War erst skeptisch wegen Sicherheit und Datenschutz, aber muss bis jetzt sagen das dass meines Erachtens gut ist.Das Produkt ist eigentlich super nur was mich stört ist das dass permanent an Strom a...",5
95,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ich habe Alexa seit einer Woche und kann ganz erlich feststellen, dass das Gerät sowohl ein paar Vorteile als auch ein paar Nachteile hat. Zwar das Gerät klein ist und passt überall, aber der Lautspre...",5
96,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Ich habe es hauptsächlich für kindermusik bisher benutzt in Zukunft auch für Spiele, ich habe damit auch das kinderzimmerlicht gesteuert. Schade das die Funktion nicht wirklich funktioniert das wenn j...",5
97,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Reagiert sehr gut und beantwortet so ziemlich jede Frage. Der kinderschutz funktioniert auch gut. Bis jetzt hat es mich überzeugt, auch wenn jetzt ein Mikrofon im Haus mehr ist;)",5
98,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Unsere Tochter liebt ihr neues, sehr robustes Schlafzimmertier. Sie nutzt es zum Musikhören, Hörbücher hören, für das Nachahmen von Tiergeräuschen und um ihren Wissensdurst zu stellen. Super ist hierb...",5
99,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Das Gerät sieht schön aus und hat für die Größe einen ordentlichen Klang. Alexa fühlt sich direkt angesprochen, hat aber oft Probleme, Songs zu finden. Auch die Verbindung mit Spotify ist schwierig. M...",5
100,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Profukt ist sehr niedlich und kann mit kinder Profil gut eingestellt werden. Finde super die extra antworten die man einstellen kann und die Qualität die Sound.Leider finde schade dass man nicht die...,5
101,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,"Profukt ist sehr niedlich und kann mit kinder Profil gut eingestellt werden. Finde super die extra antworten die man einstellen kann und die Qualität die Sound.Leider finde schade dass man nicht d...",5
102,"AMAZON Echo Dot (5. Generation, 2022), mit Alexa, Smart Speaker, Tiefseeblau","64,99€",DE,media_markt,,Der Echo Dot im Drachendesign lässt Kinderherzen höher schlagen. Schon nach dem Auspacken fiel er meinen Jungs (5 und 2 Jahre) sofort ins Auge. Er sieht wirklich schön aus und passt perfekt ins Kinder...,5
